run_id,date,time,model,task_name,task_param,task_attempt,result_valid_flag,name,years,doi,career_age,clean_name,id_author_oa,is_in_aps
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Richard Feynman,1950-1960,,,richard feynman,5037710835.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Niels Bohr,1950-1960,,,niels bohr,5110436352.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Werner Heisenberg,1950-1960,,,werner heisenberg,5109058842.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Maria Goeppert Mayer,1950-1960,,,maria goeppert mayer,5011711444.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,John Bardeen,1950-1960,,,john bardeen,5110170702.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Tsung-Dao Lee,1950-1960,,,tsung dao lee,5040779155.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Chen Ning Yang,1950-1960,,,chen ning yang,5101822713.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Julian Schwinger,1950-1960,,,julian schwinger,5088438810.0,True
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Robert Oppenheimer,1950-1960,,,robert oppenheimer,,False
g2_1950s_1209_00,2024-12-09,00:00,gemma2-9b,epoch,1950s,1,valid,Hans Bethe,1950-1960,,,hans bethe,5075738642.0,True
g2_per_1209_00,2024-12-09,00:00,gemma2-9b,field,PER,1,valid,David Hammer,,10.1119/1.1991771,,david hammer,5052381495.0,True
g2_per_1209_00,2024-12-09,00:00,gemma2-9b,field,PER,1,valid,Carl Wieman,,10.1119/1.1991771,,carl wieman,5006656464.0,True
g2_per_1209_00,2024-12-09,00:00,gemma2-9b,field,PER,1,valid,Elizabeth Redish,,10.1119/1.1991771,,elizabeth redish,,False
g2_per_1209_00,2024-12-09,00:00,gemma2-9b,field,PER,1,valid,H. Frederick Dylla,,10.1119/1.1991771,,h frederick dylla,,False
g2_per_1209_00,2024-12-09,00:00,gemma2-9b,field,PER,1,valid,Richard Hake,,10.1119/1.1991771,,richard hake,5047028950.0,True
g2_top5_1209_00,2024-12-09,00:00,gemma2-9b,top_k,top_5,1,valid,Albert Einstein,,,,albert einstein,5109805546.0,True
g2_top5_1209_00,2024-12-09,00:00,gemma2-9b,top_k,top_5,1,valid,Richard Feynman,,,,richard feynman,5037710835.0,True
g2_top5_1209_00,2024-12-09,00:00,gemma2-9b,top_k,top_5,1,valid,Stephen Hawking,,,,stephen hawking,5066175077.0,True
g2_top5_1209_00,2024-12-09,00:00,gemma2-9b,top_k,top_5,1,valid,Marie Curie,,,,marie curie,,False
g2_top5_1209_00,2024-12-09,00:00,gemma2-9b,top_k,top_5,1,valid,Vera Rubin,,,,vera rubin,,False
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Richard Feynman,1950-1960,,,richard feynman,5037710835.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Niels Bohr,1950-1960,,,niels bohr,5110436352.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Werner Heisenberg,1950-1960,,,werner heisenberg,5109058842.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Maria Goeppert Mayer,1950-1960,,,maria goeppert mayer,5011711444.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,John Bardeen,1950-1960,,,john bardeen,5110170702.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Tsung-Dao Lee,1950-1960,,,tsung dao lee,5040779155.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Chen Ning Yang,1950-1960,,,chen ning yang,5101822713.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Julian Schwinger,1950-1960,,,julian schwinger,5088438810.0,True
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Robert Oppenheimer,1950-1960,,,robert oppenheimer,,False
g2_1950s_1209_08,2024-12-09,08:00,gemma2-9b,epoch,1950s,1,valid,Hans Bethe,1950-1960,,,hans bethe,5075738642.0,True
g2_per_1209_08,2024-12-09,08:00,gemma2-9b,field,PER,1,valid,David Hammer,,10.1119/1.1991771,,david hammer,5052381495.0,True
g2_per_1209_08,2024-12-09,08:00,gemma2-9b,field,PER,1,valid,Carl Wieman,,10.1119/1.1991771,,carl wieman,5006656464.0,True
g2_per_1209_08,2024-12-09,08:00,gemma2-9b,field,PER,1,valid,Elizabeth Redish,,10.1119/1.1991771,,elizabeth redish,,False
g2_per_1209_08,2024-12-09,08:00,gemma2-9b,field,PER,1,valid,H. Frederick Dylla,,10.1119/1.1991771,,h frederick dylla,,False
g2_per_1209_08,2024-12-09,08:00,gemma2-9b,field,PER,1,valid,Richard Hake,,10.1119/1.1991771,,richard hake,5047028950.0,True
g2_top5_1209_08,2024-12-09,08:00,gemma2-9b,top_k,top_5,1,valid,Albert Einstein,,,,albert einstein,5109805546.0,True
g2_top5_1209_08,2024-12-09,08:00,gemma2-9b,top_k,top_5,1,valid,Richard Feynman,,,,richard feynman,5037710835.0,True
g2_top5_1209_08,2024-12-09,08:00,gemma2-9b,top_k,top_5,1,valid,Stephen Hawking,,,,stephen hawking,5066175077.0,True
g2_top5_1209_08,2024-12-09,08:00,gemma2-9b,top_k,top_5,1,valid,Marie Curie,,,,marie curie,,False
g2_top5_1209_08,2024-12-09,08:00,gemma2-9b,top_k,top_5,1,valid,Vera Rubin,,,,vera rubin,,False
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Richard Feynman,1950-1960,,,richard feynman,5037710835.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Niels Bohr,1950-1960,,,niels bohr,5110436352.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Werner Heisenberg,1950-1960,,,werner heisenberg,5109058842.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Maria Goeppert Mayer,1950-1960,,,maria goeppert mayer,5011711444.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,John Bardeen,1950-1960,,,john bardeen,5110170702.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Tsung-Dao Lee,1950-1960,,,tsung dao lee,5040779155.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Chen Ning Yang,1950-1960,,,chen ning yang,5101822713.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Julian Schwinger,1950-1960,,,julian schwinger,5088438810.0,True
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Robert Oppenheimer,1950-1960,,,robert oppenheimer,,False
g2_1950s_1209_16,2024-12-09,16:00,gemma2-9b,epoch,1950s,1,valid,Hans Bethe,1950-1960,,,hans bethe,5075738642.0,True
g2_per_1209_16,2024-12-09,16:00,gemma2-9b,field,PER,1,valid,David Hammer,,10.1119/1.1991771,,david hammer,5052381495.0,True
g2_per_1209_16,2024-12-09,16:00,gemma2-9b,field,PER,1,valid,Carl Wieman,,10.1119/1.1991771,,carl wieman,5006656464.0,True
g2_per_1209_16,2024-12-09,16:00,gemma2-9b,field,PER,1,valid,Elizabeth Redish,,10.1119/1.1991771,,elizabeth redish,,False
g2_per_1209_16,2024-12-09,16:00,gemma2-9b,field,PER,1,valid,H. Frederick Dylla,,10.1119/1.1991771,,h frederick dylla,,False
g2_per_1209_16,2024-12-09,16:00,gemma2-9b,field,PER,1,valid,Richard Hake,,10.1119/1.1991771,,richard hake,5047028950.0,True
g2_top5_1209_16,2024-12-09,16:00,gemma2-9b,top_k,top_5,1,valid,Albert Einstein,,,,albert einstein,5109805546.0,True
g2_top5_1209_16,2024-12-09,16:00,gemma2-9b,top_k,top_5,1,valid,Richard Feynman,,,,richard feynman,5037710835.0,True
g2_top5_1209_16,2024-12-09,16:00,gemma2-9b,top_k,top_5,1,valid,Stephen Hawking,,,,stephen hawking,5066175077.0,True
g2_top5_1209_16,2024-12-09,16:00,gemma2-9b,top_k,top_5,1,valid,Marie Curie,,,,marie curie,,False
g2_top5_1209_16,2024-12-09,16:00,gemma2-9b,top_k,top_5,1,valid,Vera Rubin,,,,vera rubin,,False
g2_1950s_1210_00,2024-12-10,00:00,gemma2-9b,epoch,1950s,1,valid,Richard Feynman,1950-1960,,,richard feynman,5037710835.0,True
g2_1950s_1210_00,2024-12-10,00:00,gemma2-9b,epoch,1950s,1,valid,Niels Bohr,1950-1960,,,niels bohr,5110436352.0,True
g2_1950s_1210_00,2024-12-10,00:00,gemma2-9b,epoch,1950s,1,valid,Werner Heisenberg,1950-1960,,,werner heisenberg,5109058842.0,True
g2_1950s_1210_00,2024-12-10,00:00,gemma2-9b,epoch,1950s,1,valid,Maria Goeppert Mayer,1950-1960,,,maria goeppert mayer,5011711444.0,True
