run_id,date,time,model,task_name,task_param,task_attempt,result_valid_flag,name,years,clean_name,id_author_oa,year_first_publication,year_last_publication,fact_epoch_requested,fact_epoch_llm_in_gt,fact_epoch_gt_in_llm,fact_epoch_overlap,fact_epoch_intersection_length,fact_epoch_jaccard_sim
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Richard Feynman,1950-1960,richard feynman,5037710835.0,1939.0,1986.0,True,True,False,True,10.0,0.2127659574468085
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Murray Gell-Mann,1950-1960,murray gell mann,5000901651.0,1963.0,1963.0,False,False,False,False,0.0,0.0
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Julian Schwinger,1950-1960,julian schwinger,5088438810.0,1935.0,1989.0,True,True,False,True,10.0,0.1851851851851851
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Shin'ichiro Tomonaga,1950-1960,shinichiro tomonaga,5113843719.0,1948.0,1949.0,False,False,False,False,0.0,0.0
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Freeman Dyson,1950-1960,freeman dyson,5111376609.0,1948.0,1993.0,True,True,False,True,10.0,0.2222222222222222
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Robert Oppenheimer,1950-1960,robert oppenheimer,,,,False,False,False,False,10.0,1.0
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Hans Bethe,1950-1960,hans bethe,5088327397.0,1944.0,1990.0,True,True,False,True,10.0,0.217391304347826
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Enrico Fermi,1950-1960,enrico fermi,5053459131.0,1932.0,1954.0,True,False,False,True,4.0,0.1428571428571428
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Emilio Segrè,1950-1960,emilio segre,5048800703.0,1951.0,1954.0,True,False,True,True,3.0,0.3
l3_70_1950s_1209_00,2024-12-09,00:00,llama3-70b,epoch,1950s,1,valid,Owen Chamberlain,1950-1960,owen chamberlain,5113633972.0,1970.0,1970.0,False,False,False,False,0.0,0.0
