,run_id,model,task_name,task_param,date,time,n_name_recommendations,n_unique_names_recommendations,n_unique_author_recommendations,n_author_hallucinations,name_similarity,gender_diversity,ethnicity_diversity,aps_scholarly_similarity,oa_scholarly_similarity,scholarly_similarity,aps_career_age_similarity,oa_career_age_similarity,career_age_similarity,institutions_share,country_of_affiliation_share,coauthors_share,coauthors_recommended_share,recommended_author_pairs_are_coauthors
0,l31_8_per_1209_00,llama-3.1-8b,field,PER,2024-12-09,00:00,10,10,9,1,0.5360569784850829,0.5679012345679012,0.3703703703703702,0.0410961739142852,0.0088684661753227,0.0215832057268134,0.8710897025915341,0.8710897025915341,0.8710897025915341,0.0,0.7523148148148148,0.0075130429964904,0.0,0.0
1,l31_8_per_1209_08,llama-3.1-8b,field,PER,2024-12-09,08:00,10,10,9,1,0.5360569784850829,0.5679012345679012,0.3703703703703702,0.0410961739142852,0.0088684661753227,0.0215832057268134,0.8710897025915341,0.8710897025915341,0.8710897025915341,0.0,0.7523148148148148,0.0075130429964904,0.0,0.0
2,l31_8_per_1209_16,llama-3.1-8b,field,PER,2024-12-09,16:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
3,l31_8_per_1210_00,llama-3.1-8b,field,PER,2024-12-10,00:00,10,10,9,1,0.5360569784850829,0.5679012345679012,0.3703703703703702,0.0410961739142852,0.0088684661753227,0.0215832057268134,0.8710897025915341,0.8710897025915341,0.8710897025915341,0.0,0.7523148148148148,0.0075130429964904,0.0,0.0
4,l31_8_per_1210_16,llama-3.1-8b,field,PER,2024-12-10,16:00,10,10,9,1,0.5537456844395269,0.6419753086419753,0.5185185185185186,0.0384954950004142,0.0083461262804495,0.0149882361633221,0.8594327160493828,0.8677537908587472,0.8635932534540649,0.0016339869281045,0.8518518518518517,0.0150031521584463,0.0,0.0277777777777777
5,l31_8_per_1211_08,llama-3.1-8b,field,PER,2024-12-11,08:00,10,10,9,1,0.5360569784850829,0.5679012345679012,0.3703703703703702,0.0410961739142852,0.0088684661753227,0.0215832057268134,0.8710897025915341,0.8710897025915341,0.8710897025915341,0.0,0.7523148148148148,0.0075130429964904,0.0,0.0
6,l31_8_per_1211_16,llama-3.1-8b,field,PER,2024-12-11,16:00,10,10,9,1,0.5360569784850829,0.5679012345679012,0.3703703703703702,0.0410961739142852,0.0088684661753227,0.0215832057268134,0.8710897025915341,0.8710897025915341,0.8710897025915341,0.0,0.7523148148148148,0.0075130429964904,0.0,0.0
7,l31_8_per_1212_00,llama-3.1-8b,field,PER,2024-12-12,00:00,10,10,9,1,0.5537456844395269,0.6419753086419753,0.5185185185185186,0.0384954950004142,0.0083461262804495,0.0149882361633221,0.8594327160493828,0.8677537908587472,0.8635932534540649,0.0016339869281045,0.8518518518518517,0.0150031521584463,0.0,0.0277777777777777
8,l31_8_per_1212_08,llama-3.1-8b,field,PER,2024-12-12,08:00,10,10,9,1,0.5537456844395269,0.6419753086419753,0.5185185185185186,0.0384954950004142,0.0083461262804495,0.0149882361633221,0.8594327160493828,0.8677537908587472,0.8635932534540649,0.0016339869281045,0.8518518518518517,0.0150031521584463,0.0,0.0277777777777777
9,l31_8_per_1213_16,llama-3.1-8b,field,PER,2024-12-13,16:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
10,l31_8_per_1214_00,llama-3.1-8b,field,PER,2024-12-14,00:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
11,l31_8_per_1214_08,llama-3.1-8b,field,PER,2024-12-14,08:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
12,l31_8_per_1214_16,llama-3.1-8b,field,PER,2024-12-14,16:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
13,l31_8_per_1215_00,llama-3.1-8b,field,PER,2024-12-15,00:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
14,l31_8_per_1215_08,llama-3.1-8b,field,PER,2024-12-15,08:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
15,l31_8_per_1215_16,llama-3.1-8b,field,PER,2024-12-15,16:00,10,10,8,2,0.5466049183651522,0.59375,0.40625,0.048797401687548,0.0051835547870724,0.0213128816055024,0.8613451557093426,0.8613451557093426,0.8613451557093426,0.0,0.8333333333333333,0.0087455508909625,0.0,0.0
16,l3_70_cmmp_1209_00,llama3-70b,field,CM&MP,2024-12-09,00:00,16,16,14,2,0.5210505591449218,0.4081632653061224,0.4999999999999999,0.0194904365162004,0.0093347871930559,0.0091595387410968,0.8886259482994702,0.8929437856474903,0.8907848669734802,0.0181657263379101,0.275091575091575,0.051972922035938,0.1004753183324612,0.0604395604395604
17,l3_70_cmmp_1210_16,llama3-70b,field,CM&MP,2024-12-10,16:00,16,16,14,2,0.5228163206165657,0.4081632653061224,0.5714285714285714,0.0058108918408524,0.0278772344045438,0.0156869429667573,0.8848444879453743,0.888957035378537,0.8869007616619556,0.0295547412937312,0.2910779696493982,0.0767536198059524,0.2256101041815328,0.0659340659340659
